Course Code,Prefix,Course ID,Course Title,Section,Seat Limit,Seat Used,Seat Left,Start Time,End Time,Instructor Name,Remark,Session,Day Number,Day,Midterm Date,Midterm Start,Midterm End,Final Date,Final Start,Final End,Order
EE4706,EE,2880,POWER ELECTRONICS LABORATORY,641,3,3,0,13:30:00,16:30:00,WARONGKIDH GANCHANASOPA,,Afternoon,5,Thursday,-,-,-,-,-,-,85
EE4901,EE,2886,ELECTRICAL AND ELECTRONICS ENGINEERING PROJECT I,641,30,11,19,17:00:00,18:00:00,SNEHA PAUDEL,Pre-REQUISITE: Complete 100 credits. Exams will be arranged by the instructor.,Afternoon,5,Thursday,-,-,-,-,-,-,86
EE4902,EE,2887,ELECTRICAL AND ELECTRONICS ENGINEERING PROJECT II,641,30,2,28,18:00:00,19:00:00,SNEHA PAUDEL,"Pre-REQUISITE: EE4901, Electrical and Electronics Engineering Project I. Exams will be arranged by the instructor.",Afternoon,5,Thursday,-,-,-,-,-,-,87
EG5000,EG,2933,RESEARCH METHODOLOGY IN ENGLISH LANGUAGE STUDIES,Empty,,,,,,,,,,,,,,,,,88
EG7301,EG,2946,"DISSERTATION STAGE I :BACKGROUND READING,RATIONALE,OBJECTIVES,RESEARCH QUESTIONS",Empty,,,,,,,,,,,,,,,,,89
EG7302,EG,2947,DISSERTATION STAGE II: LITERATURE REVIEW,Empty,,,,,,,,,,,,,,,,,90
EG7303,EG,2948,"DISSERTATION STAGE III : METHODOLOGY, PROPOSAL DEFENCE",Empty,,,,,,,,,,,,,,,,,91
EG7304,EG,2949,DISSERTATION STAGE IV : DATA COLLECTION,Empty,,,,,,,,,,,,,,,,,92
EG7305,EG,2950,DISSERTATION STAGE V : DATA ANALYSIS,Empty,,,,,,,,,,,,,,,,,93
EG7306,EG,2951,"DISSERTATION STAGE VI : CONCLUSION, FINAL DEFENCE",Empty,,,,,,,,,,,,,,,,,94
IE1110,IE,4267,ENGINEERING MATERIALS,641,40,32,8,13:30:00,16:30:00,ALLAPON HUTASINGH,,Afternoon,2,Monday,2025-08-04T00:00:00,9:00:00,11:00:00,2025-10-07T00:00:00,9:00:00,12:00:00,95
IE4203,IE,4274,ENGINEERING ECONOMICS,641,40,13,27,13:30:00,16:30:00,TUSSANAI PARTHORNRATT,,Afternoon,6,Friday,2025-08-04T00:00:00,12:00:00,14:00:00,2025-10-07T00:00:00,13:00:00,16:00:00,96
MCE2101,MCE,5955,FUNDAMENTALS OF MECHATRONICS ENGINEERING,641,40,32,8,13:30:00,15:00:00,TUSSANAI PARTHORNRATT,,Afternoon,3,Tuesday,2025-08-06T00:00:00,15:00:00,17:00:00,2025-10-14T00:00:00,9:00:00,12:00:00,97
MCE2102,MCE,5956,MECHATRONICS ENGINEERING LABORATORY I,641,10,3,1,13:30:00,16:30:00,TUSSANAI PARTHORNRATT,***No Exam***,Afternoon,2,Monday,-,-,-,-,-,-,98
